,price,highway-mpg,city-mpg,peak-rpm,horsepower,compression-ratio,stroke,bore,engine-size,num-of-cylinders,curb-weight,height,width,length,wheel-base,num-of-doors,normalized-losses,engine_efficiency,combined_mpg,engine_size_squared,horsepower_ordinal,engine_cylinders_interaction,fuel-system_1bbl,fuel-system_2bbl,fuel-system_4bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi,engine-type_dohc,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,engine-type_rotor,engine-location_front,engine-location_rear,drive-wheels_4wd,drive-wheels_fwd,drive-wheels_rwd,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,aspiration_std,aspiration_turbo,fuel-type_diesel,fuel-type_gas,make_alfa-romero,make_audi,make_bmw,make_chevrolet,make_dodge,make_honda,make_isuzu,make_jaguar,make_mazda,make_mercedes-benz,make_mercury,make_mitsubishi,make_nissan,make_peugot,make_plymouth,make_porsche,make_renault,make_saab,make_subaru,make_toyota,make_volkswagen,make_volvo
0,13495.0,27,21,5000.0,111.0,9.0,2.68,3.47,130,4,2548,48.8,64.1,168.8,88.6,2.0,115.0,0.8538461538461538,24.6,16900,2,520,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,16500.0,27,21,5000.0,111.0,9.0,2.68,3.47,130,4,2548,48.8,64.1,168.8,88.6,2.0,115.0,0.8538461538461538,24.6,16900,2,520,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,16500.0,26,19,5000.0,154.0,9.0,3.47,2.68,152,6,2823,52.4,65.5,171.2,94.5,2.0,115.0,1.013157894736842,23.2,23104,2,912,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,13950.0,30,24,5500.0,102.0,10.0,3.4,3.19,109,4,2337,54.3,66.2,176.6,99.8,4.0,164.0,0.9357798165137615,27.6,11881,2,436,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,17450.0,22,18,5500.0,115.0,8.0,3.4,3.19,136,5,2824,54.3,66.4,176.6,99.4,4.0,164.0,0.8455882352941176,20.4,18496,2,680,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,15250.0,25,19,5500.0,110.0,8.5,3.4,3.19,136,5,2507,53.1,66.3,177.3,99.8,2.0,115.0,0.8088235294117647,22.6,18496,2,680,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,17710.0,25,19,5500.0,110.0,8.5,3.4,3.19,136,5,2844,55.7,71.4,192.7,105.8,4.0,158.0,0.8088235294117647,22.6,18496,2,680,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,18920.0,25,19,5500.0,110.0,8.5,3.4,3.19,136,5,2954,55.7,71.4,192.7,105.8,4.0,115.0,0.8088235294117647,22.6,18496,2,680,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,23875.0,20,17,5500.0,140.0,8.3,3.4,3.13,131,5,3086,55.9,71.4,192.7,105.8,4.0,158.0,1.0687022900763359,18.8,17161,2,655,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,16430.0,29,23,5800.0,101.0,8.8,2.8,3.5,108,4,2395,54.3,64.8,176.8,101.2,2.0,192.0,0.9351851851851852,26.6,11664,2,432,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,16925.0,29,23,5800.0,101.0,8.8,2.8,3.5,108,4,2395,54.3,64.8,176.8,101.2,4.0,192.0,0.9351851851851852,26.6,11664,2,432,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,20970.0,28,21,4250.0,121.0,9.0,3.19,3.31,164,6,2710,54.3,64.8,176.8,101.2,2.0,188.0,0.7378048780487805,25.200000000000003,26896,2,984,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,21105.0,28,21,4250.0,121.0,9.0,3.19,3.31,164,6,2765,54.3,64.8,176.8,101.2,4.0,188.0,0.7378048780487805,25.200000000000003,26896,2,984,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,24565.0,25,20,4250.0,121.0,9.0,3.19,3.31,164,6,3055,55.7,66.9,189.0,103.5,4.0,115.0,0.7378048780487805,23.0,26896,2,984,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,30760.0,22,16,5400.0,182.0,8.0,3.39,3.62,209,6,3230,55.7,66.9,189.0,103.5,4.0,115.0,0.8708133971291866,19.6,43681,2,1254,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,41315.0,22,16,5400.0,182.0,8.0,3.39,3.62,209,6,3380,53.7,67.9,193.8,103.5,2.0,115.0,0.8708133971291866,19.6,43681,2,1254,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,36880.0,20,15,5400.0,182.0,8.0,3.39,3.62,209,6,3505,56.3,70.9,197.0,110.0,4.0,115.0,0.8708133971291866,18.0,43681,2,1254,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,5151.0,53,47,5100.0,48.0,9.5,3.03,2.91,61,3,1488,53.2,60.3,141.1,88.4,2.0,121.0,0.7868852459016393,50.599999999999994,3721,1,183,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,6295.0,43,38,5400.0,70.0,9.6,3.11,3.03,90,4,1874,52.0,63.6,155.9,94.5,2.0,98.0,0.7777777777777778,41.0,8100,1,360,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,6575.0,43,38,5400.0,70.0,9.6,3.11,3.03,90,4,1909,52.0,63.6,158.8,94.5,4.0,81.0,0.7777777777777778,41.0,8100,1,360,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,5572.0,41,37,5500.0,68.0,9.41,3.23,2.97,90,4,1876,50.8,63.8,157.3,93.7,2.0,118.0,0.7555555555555555,39.4,8100,1,360,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,6377.0,38,31,5500.0,68.0,9.4,3.23,2.97,90,4,1876,50.8,63.8,157.3,93.7,2.0,118.0,0.7555555555555555,35.2,8100,1,360,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,7957.0,30,24,5500.0,102.0,7.6,3.39,3.03,98,4,2128,50.8,63.8,157.3,93.7,2.0,118.0,1.0408163265306123,27.6,9604,2,392,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,6229.0,38,31,5500.0,68.0,9.4,3.23,2.97,90,4,1967,50.6,63.8,157.3,93.7,4.0,148.0,0.7555555555555555,35.2,8100,1,360,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,6692.0,38,31,5500.0,68.0,9.4,3.23,2.97,90,4,1989,50.6,63.8,157.3,93.7,4.0,148.0,0.7555555555555555,35.2,8100,1,360,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,7609.0,38,31,5500.0,68.0,9.4,3.23,2.97,90,4,1989,50.6,63.8,157.3,93.7,4.0,148.0,0.7555555555555555,35.2,8100,1,360,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,8558.0,30,24,5500.0,102.0,7.6,3.39,3.03,98,4,2191,50.6,63.8,157.3,93.7,4.0,148.0,1.0408163265306123,27.6,9604,2,392,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,8921.0,30,24,5000.0,88.0,8.5,3.46,3.34,122,4,2535,59.8,64.6,174.6,103.3,4.0,110.0,0.7213114754098361,27.6,14884,1,488,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,12964.0,24,19,5000.0,145.0,7.0,3.9,3.6,156,4,2811,50.2,66.3,173.2,95.9,2.0,145.0,0.9294871794871795,22.0,24336,2,624,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,6479.0,54,49,4800.0,58.0,9.6,3.41,2.91,92,4,1713,50.8,63.9,144.6,86.6,2.0,137.0,0.6304347826086957,52.0,8464,1,368,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,6855.0,38,31,6000.0,76.0,9.2,3.41,2.91,92,4,1819,50.8,63.9,144.6,86.6,2.0,137.0,0.8260869565217391,35.2,8464,1,368,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,5399.0,42,38,5500.0,60.0,10.1,3.07,2.91,79,4,1837,52.6,64.0,150.0,93.7,2.0,101.0,0.759493670886076,40.4,6241,1,316,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
